"","make.id","make.name","make.niceName","model.id","model.name","model.niceName","style.id","style.name","style.submodel.body","style.submodel.fuel","style.submodel.modelName","style.submodel.niceName","style.trim","year.id","year.year","grade","date","summary","ratings.title","ratings.grade","ratings.score","ratings.summary","title","score","style.submodel.tuner"
"1",200002038,"Acura","acura","Acura_ILX","ILX","ilx",200419090,"Hybrid w/Technology Package 4dr Sedan (1.5L 4cyl gas/electric hybrid CVT)","Sedan","Hybrid","ILX Hybrid","hybrid","Hybrid w/Technology Package",100538929,2013,"C","7/3/2012","The CVT and battery pack add enough thrust to the 1.5-liter 4-cylinder to get you off the line adequately. In our testing it took 10.4 seconds to reach 60 mph. ","Performance","B",7,"Performance usually doesn't apply to hybrids in terms of hairpins and switchbacks. And that's the case with the ILX, too. It neither truly disappoints, nor impresses. ","Acceleration",6.5,NA
"2",200002038,"Acura","acura","Acura_ILX","ILX","ilx",200419090,"Hybrid w/Technology Package 4dr Sedan (1.5L 4cyl gas/electric hybrid CVT)","Sedan","Hybrid","ILX Hybrid","hybrid","Hybrid w/Technology Package",100538929,2013,"B","7/3/2012","The ILX required 129 feet to reach a stop from 60 mph, which is about average for its class. Pedal feel was as confident in a panic stop as under normal driving conditions.","Performance","B",7,"Performance usually doesn't apply to hybrids in terms of hairpins and switchbacks. And that's the case with the ILX, too. It neither truly disappoints, nor impresses. ","Braking",7,NA
"3",200002038,"Acura","acura","Acura_ILX","ILX","ilx",200419090,"Hybrid w/Technology Package 4dr Sedan (1.5L 4cyl gas/electric hybrid CVT)","Sedan","Hybrid","ILX Hybrid","hybrid","Hybrid w/Technology Package",100538929,2013,"B","7/3/2012","The electric power steering didn't feel as numb as other systems we've tested. Steering reaction was somewhat slow in quick transitions, but suited for driving around town. ","Performance","B",7,"Performance usually doesn't apply to hybrids in terms of hairpins and switchbacks. And that's the case with the ILX, too. It neither truly disappoints, nor impresses. ","Steering",7,NA
"4",200002038,"Acura","acura","Acura_ILX","ILX","ilx",200419090,"Hybrid w/Technology Package 4dr Sedan (1.5L 4cyl gas/electric hybrid CVT)","Sedan","Hybrid","ILX Hybrid","hybrid","Hybrid w/Technology Package",100538929,2013,"B","7/3/2012","A definite tendency toward mild understeer. The low rolling resistance, high-mpg tires were the limiting factor to the ILX Hybrid being more adept around corners. ","Performance","B",7,"Performance usually doesn't apply to hybrids in terms of hairpins and switchbacks. And that's the case with the ILX, too. It neither truly disappoints, nor impresses. ","Handling",7,NA
"5",200002038,"Acura","acura","Acura_ILX","ILX","ilx",200419090,"Hybrid w/Technology Package 4dr Sedan (1.5L 4cyl gas/electric hybrid CVT)","Sedan","Hybrid","ILX Hybrid","hybrid","Hybrid w/Technology Package",100538929,2013,"B","7/3/2012","Displays some engine-off to engine-on abruptness and harshness, but otherwise the ILX Hybrid is an easy car to drive in everyday situations. ","Performance","B",7,"Performance usually doesn't apply to hybrids in terms of hairpins and switchbacks. And that's the case with the ILX, too. It neither truly disappoints, nor impresses. ","Driveability",7.5,NA
"6",200002038,"Acura","acura","Acura_ILX","ILX","ilx",200419090,"Hybrid w/Technology Package 4dr Sedan (1.5L 4cyl gas/electric hybrid CVT)","Sedan","Hybrid","ILX Hybrid","hybrid","Hybrid w/Technology Package",100538929,2013,"C","7/3/2012","Seat comfort is fine for short drives but we encountered some soreness over long distances. The seats are plenty adjustable, but taller folks will encounter headroom constraints.","Comfort","B",7,"The ILX Hybrid's overall comfort is just merely average for the segment due to the limited front headroom. The optional sunroof is no doubt at least partially to blame here. ","Seating Comfort",6,NA
"7",200002038,"Acura","acura","Acura_ILX","ILX","ilx",200419090,"Hybrid w/Technology Package 4dr Sedan (1.5L 4cyl gas/electric hybrid CVT)","Sedan","Hybrid","ILX Hybrid","hybrid","Hybrid w/Technology Package",100538929,2013,"B","7/3/2012","The ILX Hybrid handles large bumps fairly easily, but the suspension isn't as good at suppressing quick, harsh, smaller hits. ","Comfort","B",7,"The ILX Hybrid's overall comfort is just merely average for the segment due to the limited front headroom. The optional sunroof is no doubt at least partially to blame here. ","Ride Comfort",7,NA
"8",200002038,"Acura","acura","Acura_ILX","ILX","ilx",200419090,"Hybrid w/Technology Package 4dr Sedan (1.5L 4cyl gas/electric hybrid CVT)","Sedan","Hybrid","ILX Hybrid","hybrid","Hybrid w/Technology Package",100538929,2013,"B","7/3/2012","Wind noise is well isolated but the low rolling resistance Continental tires had some hum at highway speeds. ","Comfort","B",7,"The ILX Hybrid's overall comfort is just merely average for the segment due to the limited front headroom. The optional sunroof is no doubt at least partially to blame here. ","Quietness",8,NA
"9",200002038,"Acura","acura","Acura_ILX","ILX","ilx",200419090,"Hybrid w/Technology Package 4dr Sedan (1.5L 4cyl gas/electric hybrid CVT)","Sedan","Hybrid","ILX Hybrid","hybrid","Hybrid w/Technology Package",100538929,2013,"B","7/3/2012","Controls are arranged logically and in full visibility of the driver. The center stack design requires practice to master the knob and button combinations, but then it's easy.","Interior","B",7,"A cohesive and functional layout puts all primary and secondary controls within easy reach of the driver. Visibility is good thanks to a backup camera and smallish pillars. The interior would rank higher if the rear seatbacks folded flat.","Ergonomics",8,NA
"10",200002038,"Acura","acura","Acura_ILX","ILX","ilx",200419090,"Hybrid w/Technology Package 4dr Sedan (1.5L 4cyl gas/electric hybrid CVT)","Sedan","Hybrid","ILX Hybrid","hybrid","Hybrid w/Technology Package",100538929,2013,"B","7/3/2012","Climbing in and out of the ILX Hybrid provides no more problems than a typical sedan of this size. ","Interior","B",7,"A cohesive and functional layout puts all primary and secondary controls within easy reach of the driver. Visibility is good thanks to a backup camera and smallish pillars. The interior would rank higher if the rear seatbacks folded flat.","Ingress/Egress",7,NA
