"","styles.id","styles.name","styles.trim","styles.make.id","styles.make.name","styles.make.niceName","styles.model.id","styles.model.name","styles.model.niceName","styles.year.id","styles.year.year","styles.submodel.body","styles.submodel.modelName","styles.submodel.niceName","styles.submodel.fuel","stylesCount","cars.make","cars.model","cars.year","cars.api"
"1",101418219,"4dr Sedan (2.0L 4cyl 5A)","Base",200002038,"Acura","acura","Acura_ILX","ILX","ilx",100538929,2013,"Sedan","ILX Sedan","sedan",NA,6,"acura","ilx","2013","https://api.edmunds.com/api/vehicle/v2/acura/ilx/2013/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez"
"2",200419089,"Premium Package 4dr Sedan (2.4L 4cyl 6M)","Premium Package",200002038,"Acura","acura","Acura_ILX","ILX","ilx",100538929,2013,"Sedan","ILX Sedan","sedan",NA,6,"acura","ilx","2013","https://api.edmunds.com/api/vehicle/v2/acura/ilx/2013/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez"
"3",200419090,"Hybrid w/Technology Package 4dr Sedan (1.5L 4cyl gas/electric hybrid CVT)","Hybrid w/Technology Package",200002038,"Acura","acura","Acura_ILX","ILX","ilx",100538929,2013,"Sedan","ILX Hybrid","hybrid","Hybrid",6,"acura","ilx","2013","https://api.edmunds.com/api/vehicle/v2/acura/ilx/2013/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez"
"4",200418983,"Technology Package 4dr Sedan (2.0L 4cyl 5A)","Technology Package",200002038,"Acura","acura","Acura_ILX","ILX","ilx",100538929,2013,"Sedan","ILX Sedan","sedan",NA,6,"acura","ilx","2013","https://api.edmunds.com/api/vehicle/v2/acura/ilx/2013/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez"
"5",101418787,"Hybrid 4dr Sedan (1.5L 4cyl gas/electric hybrid CVT)","Hybrid",200002038,"Acura","acura","Acura_ILX","ILX","ilx",100538929,2013,"Sedan","ILX Hybrid","hybrid","Hybrid",6,"acura","ilx","2013","https://api.edmunds.com/api/vehicle/v2/acura/ilx/2013/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez"
"6",200418982,"Premium Package 4dr Sedan (2.0L 4cyl 5A)","Premium Package",200002038,"Acura","acura","Acura_ILX","ILX","ilx",100538929,2013,"Sedan","ILX Sedan","sedan",NA,6,"acura","ilx","2013","https://api.edmunds.com/api/vehicle/v2/acura/ilx/2013/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez"
"7",100826499,"4dr Sedan w/Navigation (2.4L 4cyl 5A)","Base",200002038,"Acura","acura","Acura_TSX","TSX","tsx",100520228,2007,"Sedan","TSX Sedan","sedan",NA,4,"acura","tsx","2007","https://api.edmunds.com/api/vehicle/v2/acura/tsx/2007/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez"
"8",100826497,"4dr Sedan (2.4L 4cyl 5A)","Base",200002038,"Acura","acura","Acura_TSX","TSX","tsx",100520228,2007,"Sedan","TSX Sedan","sedan",NA,4,"acura","tsx","2007","https://api.edmunds.com/api/vehicle/v2/acura/tsx/2007/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez"
"9",100826498,"4dr Sedan (2.4L 4cyl 6M)","Base",200002038,"Acura","acura","Acura_TSX","TSX","tsx",100520228,2007,"Sedan","TSX Sedan","sedan",NA,4,"acura","tsx","2007","https://api.edmunds.com/api/vehicle/v2/acura/tsx/2007/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez"
"10",100826502,"4dr Sedan w/Navigation (2.4L 4cyl 6M)","Base",200002038,"Acura","acura","Acura_TSX","TSX","tsx",100520228,2007,"Sedan","TSX Sedan","sedan",NA,4,"acura","tsx","2007","https://api.edmunds.com/api/vehicle/v2/acura/tsx/2007/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez"
"11",100655175,"4dr Sedan (3.2L 6cyl 5A)","Base",200002038,"Acura","acura","Acura_TL","TL","tl",100506840,2006,"Sedan","TL Sedan","sedan",NA,6,"acura","tl","2006","https://api.edmunds.com/api/vehicle/v2/acura/tl/2006/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez"
"12",100655179,"4dr Sedan w/Nav System (3.2L 6cyl 5A)","Base",200002038,"Acura","acura","Acura_TL","TL","tl",100506840,2006,"Sedan","TL Sedan","sedan",NA,6,"acura","tl","2006","https://api.edmunds.com/api/vehicle/v2/acura/tl/2006/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez"
"13",100655180,"4dr Sedan w/Nav System (3.2L 6cyl 6M)","Base",200002038,"Acura","acura","Acura_TL","TL","tl",100506840,2006,"Sedan","TL Sedan","sedan",NA,6,"acura","tl","2006","https://api.edmunds.com/api/vehicle/v2/acura/tl/2006/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez"
"14",100655178,"4dr Sedan (3.2L 6cyl 6M)","Base",200002038,"Acura","acura","Acura_TL","TL","tl",100506840,2006,"Sedan","TL Sedan","sedan",NA,6,"acura","tl","2006","https://api.edmunds.com/api/vehicle/v2/acura/tl/2006/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez"
"15",100655181,"4dr Sedan w/Performance Tires (3.2L 6cyl 6M)","Base",200002038,"Acura","acura","Acura_TL","TL","tl",100506840,2006,"Sedan","TL Sedan","sedan",NA,6,"acura","tl","2006","https://api.edmunds.com/api/vehicle/v2/acura/tl/2006/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez"
"16",100655182,"4dr Sedan w/Performance Tires, Nav System (3.2L 6cyl 6M)","Base",200002038,"Acura","acura","Acura_TL","TL","tl",100506840,2006,"Sedan","TL Sedan","sedan",NA,6,"acura","tl","2006","https://api.edmunds.com/api/vehicle/v2/acura/tl/2006/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez"
"17",100773231,"4dr SUV AWD (2.3L 4cyl Turbo 5A)","Base",200002038,"Acura","acura","Acura_RDX","RDX","rdx",100505131,2007,"SUV","RDX SUV","suv",NA,2,"acura","rdx","2007","https://api.edmunds.com/api/vehicle/v2/acura/rdx/2007/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez"
"18",100773236,"4dr SUV AWD w/Technology Package (2.3L 4cyl Turbo 5A)","Base",200002038,"Acura","acura","Acura_RDX","RDX","rdx",100505131,2007,"SUV","RDX SUV","suv",NA,2,"acura","rdx","2007","https://api.edmunds.com/api/vehicle/v2/acura/rdx/2007/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez"
"19",100650685,"Touring 4dr SUV AWD w/Nav, Entertainment System (3.5L 6cyl 5A)","Touring",200002038,"Acura","acura","Acura_MDX","MDX","mdx",100506940,2006,"SUV","MDX SUV","suv",NA,5,"acura","mdx","2006","https://api.edmunds.com/api/vehicle/v2/acura/mdx/2006/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez"
"20",100650683,"Touring 4dr SUV AWD w/Entertainment System (3.5L 6cyl 5A)","Touring",200002038,"Acura","acura","Acura_MDX","MDX","mdx",100506940,2006,"SUV","MDX SUV","suv",NA,5,"acura","mdx","2006","https://api.edmunds.com/api/vehicle/v2/acura/mdx/2006/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez"
